ID,name,sheet
1,  six's Music box,A3B3 . B2 . A3B1 . A3B3 . B2 . A3B1 . A3B2 . B1 . A3A5 . A3B2 . B1 . A3A5 . A1B5 . B4 . A3B3 . A1B5 . B4 . A3B3 . A3B4 . B3 . A3B2 . A3B4 . B3 . A3B2 . A2C1 . B5 . A3B2 . A2C1 . B5 . A3B2 . B1B5 . A4B4 . A3B3 . A2B2 . A3B1 A5 B1 B2 A3B3 B2 B1 A5 A3B1 A5 B1 B2 A3B3 B2 A5 B2 A1A3 A1 A3 A1 A3 A1 A3A5 . A1A3 A1 A3 A1 A3 A1 A3 A1 B1B3 B2 B3 B4 B3B5 B4 B3 B2 B1B3 B2 B3 B4 B3B5 B4 B3 B2 B1B5 A3 B1 A3 B1 A3 B1 A3 B1 A3 B1 A3 B1 A3 B1 A3 A2C1 B5 A4B4 B5 A3B2 . B1 A2C1 B5 A4B4 B5 A4B4 B3 A2B2 B1 A1B1B5 . A4B1B4 . A2B1C1 . B1B5C3 . A3B3 . B2 . A2B1 . A3B3 . B2 . A2B1 . A3B2 . B1 . A3A5 . A3B2 . B1 . A3A5 . A1B5 . B4 . A3B3 . A1B5 . B4 . A3B3 . A3B4 . B3 . A3B2 . A3B4 . B3 . A3B2 . A2C1 . B5 . A3B2 . A2C1 . B5 . A3B2 . B1B5 . A4B4 . A3B3 . A2B2 . A3B1 A5 B1 B2 A3B3 B2 B1 A5 A3B1 A5 B1 B2 A3B3 B2 A5 B2 A1A3 A1 A3 A1 A3 A1 A3A5 . A1A3 A1 A3 A1 A3 A1 A3 A1 B1B3 B2 B3 B4 B3B5 B4 B3 B2 B1B3 B2 B3 B4 B3B5 B4 B3 B2 B1B5 A3 B1 A3 B1 A3 B1 A3 B1 A3 B1 A3 B1 A3 B1 A3 B1 A3 A2C1 B5 A4B4 B5 A3B2 . B1 A2C1 B5 A4B4 B5 A4B4 B3 A2B2 B1 A1B1B5 . A4B1B4 . A2B1C1 . B1B3B5C3
2,  Six's Music box(V2),B1B3 . B2 . A3B1 . B1B3 . B2 . A3B1 . A3B2 . B1 . A3A5 . A3B2 . B1 . A3A5 . A1B5 . B4 . A3B3 . A1B5 . B4 . A3B3 . A3B4 . B3 . A5B2 . A3B4 . B3 . A5B2 . A4C1 . B5 . B1B2 . A4C1 . B5 . B1B2 . A3B5 . B1B4 . A3B3 . A3B2 . A3B1 A5 B1 B2 A3B3 B2 B1 A5 A3B1 A5 B1 B2 A3B3 B2 B1 B2 A3 . A5 . A3 . A3 . A1B3 B2 A3B3 B4 A5B5 B4 A3B3 B2 A1B3 B2 A3B3 B4 A5B5 B4 A3B3 B2 A3B5 . A5 . A4C1 B5 B1B4 B5 B2 . B1 A4C1 B5 B1B4 B5 B4 B3 B2 B1 A3B5 . B4 . A3B3 . B2 . A3B1B3 . B2 . A3B1 . B1 . A3B1B3 . B2 . A3B1 . B1 . A3A5B2 . B1 . A3A5 . A3 . A3B2 . B1 . A3A5 . A3 . A1A3B5 . B4 . A3B3 . A1 . A1A3B5 . B4 . A3B3 . A1 . A3A5B4 . B3 . A5B2 . A3 . A3A5B4 . B3 . A5B2 . A3 . A4B1C1 . B5 . A4B2 . B1 . A4B1C1 . B5 . A4B2 . B1 . A3B1B5 . B4 . A3B3 . B2 . A3B1 A5 B1 B2 A3B3 B2 B1 A5 A3B1 A5 B1 B2 A3B3 B2 B1 B2 A3 . A3 . A5 . A3 . A3 . A1B3 B2 A3B3 B4 A5B5 B4 A3B3 B2 A1B3 B2 A3B3 B4 A5B5 B4 A3B3 B2 A3B5 . A5 . B2 . A3B5 . A5 . A4C1 B5 B1B4 B5 B1 . B1 A4C1 B5 B1B4 B5 B4 B3 A4B2 B1 A3B5 . B1B4 . A3B3 . B2 . B3C5 . B2C4 . B1C3 . B3C5 . B2C4 . B1C3 . B2C4 . B1C3 . A5C2 . B2C4 . B1C3 . A5C2 . A3B5 . A2B4 . A1B3 . A3B5 . A2B4 . A1B3 . A2B4 . A1B3 . B2 . A2B4 . A1B3 . B2 . A4C1 . A3B5 . B2 . A4C1 . A3B5 . B2 . A3B5 . A2B4 . A1B3 . B2 . B1
3,  Carol of the bells,C5 C4 C5 C3 C5 C4 C5 C3 C5 C4 C5 C3 C5 C4 C5 C3 C1C5 C4 C5 C3 B5C5 C4 C5 C3 B4C5 C4 C5 C3 B3C5 C4 C5 C3 B1B5 B4 B5 B3 A5B5 B4 B5 B3 A4B5 B4 B5 B3 A3B5 B4 B5 B3 B1B5 B4 B5 B3 A5B5 B4 B5 B3 A4B5 B4 B5 B3 A3B5 B4 B5 B3 B3C3 B3C3 B3C3 B2C2 B1C1 A5B5 A5B5 A5B5 A4B4 A3B3 A4B4 A4B4 A4B4 A5B5 A4B4 A3B3 A2B2 A3B3 A1B1 A3 A4 A5 B1 B2 B3 B4 B5 B4 B3 A4 A5 B1 B2 B3 B4 B5 B5 B4 B3 B3 B2 B3 B1 B3 B2 B3 B1 B3 B2 B3 . A1 A3 B1 . B3C3 B2C2 B1C1 A5B5 A4B4 A3B3 A2B2 A3B1 B3C3
4,  Naruto,C3 A3 B1 B2 B3 C4 C3 C2 A1B5 A5 B3 B4 B5 C2 A2B4 B1 B4 B5 C1 B3 B4 B3 A4B1 A5B2 A5 C3 A3 B1 B2 B3 C4 C3 C2 A1B5 A5 B3 B4 B5 C2 A2B4 B1 B4 B5 C1 B3 B4 B3 A4B1 A5B2 A5 A1C1 A4 A1C1 A4 A1C1 A4 A1C3 A4 A2C2 A5 A2C2 A5 A2B5 A5 A2C2 A5 A2C2 B1 B4 B5 C1 A2 B1 B4 B5 C1 A1C1 A4 A1C1 A4 A1C1 A4 A1C3 A4 A2C2 A5 A2C2 A5 A2B5 A5 A2C2 A5 A2C3 B1 B4 B5 C1 A2 B1 B4 B5 C1 A3B1 B1B5 B4 B3 A5B1 B1B5 B4 B5 C1 C3 C5 C4 C1C3 C2 C3 B5C2 B2B5 B2B5 A5B1 A3B1 B1B5 B4 B3 A5B1 B1B5 B4 B5 C1C3 C5 C4 C1C3 C2 C3 B5C2 B3B5 B2B4 A5B2 A3B1
5,  Still D.R.E,B3 . B5 . C3 B3 B5 C3 B3 B5 C3 B3 B5 C3 B3B5C3 B3B5C3 B3B5C3 B3B5C3 B3B5C3 B3B5C3 B3B5C3 B3B5C3 B2B5C3 B2B5C3 B2B5C3 B2B5C2 B2B5C2 B2B5C2 B2B5C2 B2B5C2 B1B3B5C3 B3B5C3 B3B5C3 B3B5C3 B3B5C3 B3B5C3 B2B3B5C3 B3B5C3 A3B2B5C3 B2B5C3 B2B5C3 B2B5C2 B2B5C2 B2B5C2 B2B5C2 B2B5C2
6,  Erased,B3 B2 A1A4B1 A4 A1A4B1 B3 A2A5B2 A5 A2A5B3 B4 A1A5B5 C2 A2A5B4 C2 A3B1B3 A3 A1A3B3 B2 A1A4B1 A4 A1A4B1 B3 A2A5B2 A5 A2A5B4 B2 A1B1 A3 B1 B2 A1A3B3 A3 A1A3B3 B2 A1A4B1 A4 A1A4B1 B3 A2A5B2 A5 A2A5B3 B4 A1A5B5 C2 A2A5B4 C2 A3B1B3 A3 A1A3B3 B2 A1A4B1 A4 A1A4B1 B3 A2A5B2 B3 A2A5B2 A5 A1B1 A3 B1 B3 B1B3B5 A3 A1A3B5 C2 A1A4B1C3 A4 A1A4B1C3 C5 A2A5B2C4 A5 A2A5C3 C2 A1A5B5 A5 A2A5B4 B5 A3B1B3 A3 A3B1B3 B2 A1A4B3 A4 A1A4B3 B5 A2A5B4 B5 A2A5C1 C2 A1A5B5 A5 A1A5B4 A5 A1A5B3 A5 A1A5B5 C2 A1A4B1C3 A4 A1A4B1C3 C5 A2A5B2C4 A5C5 A2A5C4 C2 A1A5B5 A5 A2A5B4 B5 A3B1B3 A3 A3B1B3 B2 A1A4B3 A4 A1A4B3 B5 A2A5B4 . B3 . A2A5B2 . A5 . A1B1 A3 B1 B2 B3 B5 C2 C4 B1B3C3
7,  Alan Walker - Faded,A1A3B1B3 A3 A1B3 A3 A1B1B3 A3 A1B5 A3 A1A4B1C3 A4 A1C3 A4 A1B1C3 A4 A1C2 A4 A1A3A5B5 A3 A1B5 A3 A1A5B5 A3 A1B5 A3 A2A5B2 A5 A2B2 A5 A2B2 A5 A2B1 A5 A1A3B1 A3B3 A1B3 A3B1 A1B1B3 A3B1 A1B3 A3B4 A1A4B1B5 A4 A1B3 A4B3 A1A5B1 A4B5 A1 A4 A1A3A5 A3 A1 A3 A1A5 A3B3 A1B3 A3B3 A2A5B2 A5 A2 A5B2 A2B2 A5B1 A2B3 A5 A1A3B1 A3B3 A1B3 A3B1 A1B1B3 A3B1 A1B3 A3B4 A1A4B1B5 A4 A1B3 A4B3 A1B1C2 A4B5 A1 A4 A1A3A5 A3 A1 A3 A1A5 A3B3 A1B3 A3B4 A2A5B2 A5 A2 A5 A2B2 A5B5 A2B5 A5B5 A1A3B1B3B5 . B3 . B3 . B5 . A1A4B1C3 . C3 . C3 B5 A1A4B1B5C2 B5 A1A3A5B5 . B5 . B5 . B5 . A2A5B2 . B2 . B2 B5 A2A5B2B5 B5 A1A3B1B3B5 . A1A3B1 . B3 B4 A1A3B1B4 B4 B5 A1A4B1B4 B3 A1A4B1B3 . B5 A1A4B1B5 B5 A1A3A5B5 . A1A3A5 . B4 B4 A1A3A5B4 B4 B5 A2A5B2 B2 A2A5B2 B3 . B5 B5 B5 A1A3B1B5 A3 A1 A3 A1B1 A3 A1 A3B2 A1A4B1 A4A5 A1 A4 A1B1 A4B3 A1C2 A4C2 B5 A1A3A5 A3 A1 A3 A1A5 A3B3 A1C2 A3C2 B5 A2A5B2 A5 A2 A5B4 A2B2 A5B5 A2B5 A5B5 A1A3B1B5 A3 A1 A3 A1B1 A3B3 A1B3 A3B1 C1 A1A4B1 A4 A1 A4 A1B1 A4 A1 A4C2 A1A3A5B5 A3C2 A1B5 A3C2 A1A5B5 A3C2 A1B5 A3B4 C1 A2A5B2 A5 A2 A5B1 A2B2C1 A5 A2B5 A5 A1A3B1 A3 A1 A3 A1B1 A3 A1 A3 A1A4B1 A4 A1 A4B1 A1B1C1 A4 A1B5 A4 A1A3A5 A3 A1 A3 A1A5 A3 A1 A3B3 A2A5B2 A5 A2 A5B1 A2B2C1C3 A5 A2B5C2 A5 A1A3B1 A3 A1 A3 A1B1 A3 A1 A3 A1A4B1 A4 A1 A4B1 A1B1C1 A4 A1C2 A4 A1A3A5 A3 A1 A3 A1A5 A3 A1 A3B3 A2A5B2 A5 A2 A5B1 A2B2C1 A5 A2B5 A5 A1A3B1 A3B3 A1B3 A3B1 A1B1B3 A3B1 A1B3 A3B4 A1A4B1B5 A4 A1B3 A4B3 A1A5B1 A4B5 A1 A4 A1A3A5 A3 A1 A3 A1A5 A3B3 A1B3 A3B3 A2A5B2 A5 A2 A5B2 A2B2 A5B1 A2B3 A5 A1A3B1 A3B3 A1B3 A3B4 A1B1B3 A3B1 A1B3 A3B4 A1A4B1B5 A4 A1 A4B3 A1B1C2 A4 B5 A1 A4 A1A3A5 A3 A1 A3 A1A5 A3B3 A1B3 A3B4 A2A5B2 A5 A2 A5 A2B2 A5B5 A2B5 A5B5 A1A3B1B5 A3 A1 A3 A1B1 A3 A1 A3 A1A4B1 A4 A1 A4 A1B1 A4B5 A1B5 A4B5 A1A3A5B5 A3 A1 A3 A1A5 A3 A1 A3 A2A5B2 A5 A2 A5 A2B2 A5B3 A2C2 A5C2 B5 A1A3B1 B3 B1C2 B5 A1A3B1 B3 C2 C2 B4 A1A4B1 B3 A4B3 B5 A1A4B1 B3 C2 C2 B5 A1A3A5 . A1 . A1A3A5 B3 C2 C2 B4 A2A5B2 . A5 . A2A5B2 . A1A3B1B3 B3 B4 B3 B3 C2 A1A3B1 B3 B4 B3 A1A3B1B3 A1A4B1B3 B3 B4 B3 B3 C2 A1A4B1 B3 B4 B3 A1A4B1B3 A1A3A5B3 B3 B4 B3 B3 C2 A1A3A5 B3 B4 B3 A1A3A5B3 A2A5B2B3 B3 B4 B3 B3 C2 A2A5B2 B3 B4 B3 A2A5B2B3 . B5 B5 B5 A1A3B1B5 A3 A1 A3 A1B1 A3 A1 A3B2 A1A4B1 A4A5 A1 A4 A1B1 A4B3 A1C2 A4C2 B5 A1A3A5 A3 A1 A3 A1A5 A3B3 A1C2 A3C2 B5 A2A5B2 A5 A2 A5B4 A2B2 A5B5 A2B5 A5B5 A1A3B1B5 A3 A1 A3 A1B1 A3B3 A1B3 A3B1 C1 A1A4B1 A4 A1 A4 A1B1 A4 A1 A4C2 A1A3A5B5 A3C2 A1B5 A3C2 A1A5B5 A3C2 A1B5 A3B4 C1 A2A5B2 A5 A2 A5B1 A2B2C1C3 A5 A2B5C2 A5 A1A3B1 A3 A1 A3 A1B1 A3 A1 A3 A1A4B1 A4 A1 A4B1 A1B1C1 A4 A1B5 A4 A1A3A5 A3 A1 A3 A1A5 A3 A1 A3B3 A2A5B2 A5 A2 A5B1 A2B2C1C3 A5 A2B5C2 A5 A1A3B1 A3 A1 A3 A1B1 A3 A1 A3 A1A4B1 A4 A1 A4B1 A1B1C1 A4 A1C2 A4 A1A3A5 A3 A1 A3 A1A5 A3 A1 A3B3 A2A5B2 A5 A2 A5B1 A2B2C1 A5 A2B5 A5 A1A3B1B3 . B3 . B3 . B5 . A1A4B1C3 . C3 . C3 . C2 . A1A3A5B5 . B5 . B5 . B5 . A2A5B2
8,  canCAn ikina,B1 A5 . C3 C2 . B1 A5 . C3 C2 . B1 A5 B1 A5 B1 A5 B1 A5 C3 C2 C3 C2 C3 C2 C3 C2 A2A5 B4 A4A5B4 B5 A1B4 B3 A3A5B3 B5 A4C1 C3 B1B3C5 C3 A1C3 C2 A3A5C2 A2C3 B2 A4A5B2 C3 A1C2 B3 A3A5B3 B5 A2B1B5 B4 A2B1B5 B4 A2B1B5 B4 A2B1B5 B4 A2A5 B4 A4A5B4 B5 A1B4 B3 A3A5B3 B5 A4C1 C3 B1B3C5 C3 A1C3 C2 A3A5C2 A2C3 B2 A4A5B2 C3 A1C2 B3 A3A5B3 B5 A2B1B5 B4 A2B1B5 B4 A1B4 B3 A3A5B3 A3B5 A1B3 B1 A5 A2C2 B4 A4A5B5 C1 A1B5 B4 A3A5B3 A3B5 A1B3 B1 A5 A2A4 A5 A4A5B1 B2 A1B4 B3 A3A5B3 A3B5 A1B3 B1 A5 A2C2 B4 A4A5B5 C1 A1B5 B4 A3A5B3 B5 B3 B1 A5 A2A4 A5 A4A5B1 B2 A1B3 A5 A1B2 A5 A1B3 A5 A1B2 A5 A1B3 A5 A1B2 A5 A1B3 A5 A1B2 A5 A1B3 B3 A1B3 B3 A1B3 B3 A1B3 B3 A1B3 B3 A1B3 B3 A1B3 B3 A1B3 B3 A1B3 A1 A1B4 C1 A1B5 B4 A1C2 A1C2 A1C2 C3 A1B5 C1 A5B4 A5B4 A5B4 C1 A5B5 B4 A1B3 C5 A1C4 C3 A1C2 C1 A1B5 B4 A1B3 A1 A1B4 C1 A1B5 B4 A1C2 A1C2 A1C2 C3 A1B5 C1 A5B4 A5B4 A5B4 C1 A5B5 B4 A1B3 C2 A5B4 B5 A1B3 A1A5 A1B3 A1 A1 A1 A1A2B4 A1A4C1 A1A3B5 A1A2B4 A1A5C2 A1 A1A5C2 A1 A1A5C2 A1B1C3 A1A3B5 A1A4C1 A2A5B4 A5 A2A5B4 A5 A2A5B4 A4A5C1 A3A5B5 A2A5B4 A1 B3 B3 C5 B2 C4 B1 C3 A5 C2 A4 C1 A3 B5 A2 B4 A1B3 A1 A1 A1 A1A2B4 A1A4C1 A1A3B5 A1A2B4 A1A5C2 A1 A1A5C2 A1 A1A5C2 A1B1C3 A1A3B5 A1A4C1 A2A5B4 A5 A2A5B4 A5 A2A5B4 A4A5C1 A3A5B5 A2A5B4 A1B3 A1A5C2 A2A5B4 A3A5B5 A1B3 C2 C3 C4 B3C5 A2A5 A4A5B4 A4A5B4 A4A5B5 A1B4 A3A5B3 A3A5B3 A3A5B5 A4C1 B1B3C3 B1B3C5 B1B3C3 A1C3 A3A5C2 A3A5C2 A3A5 A2C3 A4A5B2 A4A5B2 A4A5C3 A1C2 A3A5B3 A3A5B3 A3A5B5 A2B1B5 A2B4 A2B1B5 A2B4 A2B1B5 A2B4 A2B1B5 A2B4 A2A5 A4A5B4 A4A5B4 A4A5B5 A1B4 A3A5B3 A3A5B3 A3A5B5 A4C1 B1B3C3 B1B3C5 B1B3C3 A1C3 A3A5C2 A3A5C2 A3A5 A2C3 A4B2C2 A4B2C2 A4B2 A3C3 A5B3C2 A5B3C2 A5B3 A4C3 B2B4C2 B2B4C2 B2B4 A5C3 B3B5C2 B3B5C2 B3B5 A2B1C3 A4A5B2C2 A4A5B2C2 A4B2 A3B1C3 A3A5B3C2 A3A5B3C2 A3B3 A4B1C3 A5B2B4C2 A5B2B4C2 B2B4 A5B1C3 A5B3B5C2 A5B3B5C2 B3B5 A2C3 A4B2C2 A4B2C3 A4B2C2 A3C3 A5B3C2 A5B3C3 A5B3C2 A4C3 B2B4C2 B2B4C3 B2B4C2 A5C3 B3B5C2 B3B5C3 B3B5C2 C3C4 A1C5 A3A5 A1 A3A5 A1B4 A3A5C1 A1B5 A3A5B4 A1C2 A3A5 A1C2 A3A5 A1C2 A3A5C3 A1B5 A3A5C1 A2B4 A4A5 A2B4 A4A5 A2B4 A4A5C1 A2B5 A4A5B4 A1B3 A3A5C5 A1C4 A3A5C3 A1C2 A3A5C1 A1B5 A3A5B4 A1B3 A3A5 A1 A3A5 A1B4 A3A5C1 A1B5 A3A5B4 A1C2 A3A5 A1C2 A3A5 A1C2 A3A5C3 A1B5 A3A5C1 A2B4 A4A5 A2B4 A4A5 A2B4 A4A5C1 A2B5 A4A5B4 A1B3 A3A5C2 A2B4 A4A5B5 A1B3 C2 A3A5C3 C4 A1C5 A3A5 A1B3 B3 A3A5B3 B3 A1B3 A3A5 A1B4 A3A5C1 A1B5 A3A5B4 A1C2 C2 A3A5C2 C2 A1C2 A3A5 A1C2 A3A5C3 A1B5 A3A5C1 A2B4 B4 A4A5B4 B4 A2B4 A4A5 A2B4 A4A5C1 A2B5 A4A5B4 A1 B3 B3 C5 B2 C4 B1 C3 A5 C2 A4 C1 A3 B5 A2 B4 A1B3 B3 A3A5B3 B3 A1B3 A3A5 A1B4 A3A5C1 A1B5 A3A5B4 A1C2 C2 A3A5C2 C2 A1C2 A3A5 A1C2 A3A5C3 A1B5 A3A5C1 A2B4 B4 A4A5B4 B4 A2B4 A4A5 A2B4 A4A5C1 A2B5 A4A5B4 A1B3 A3A5C2 A2B4 A4A5B5 A1A3B3 A1A3B3 A5 A2A5B4 B2 A3A5B5 B3 A4B1C2 C1 A4B1C4 C3 A5B2C2 C1 A5B2B5 B4 A1A3B3 A1A3B3 A5 A2A5B4 B2 A3A5B5 B3 A4B1C2 C1 A4B1C4 C3 A5B2C2 C1 A5B2B5 B4 A1A3B3 B1 B2 A2A5B3C4 B2 B1 B2 A1A3A5B3C5 B2 B1 B2 A2A5B3C4 B2 B1 B2 A1A3A5B3C5 B2 B1 B2 A2A5B3C4 B2 B1 B2 A1A3A5B3C5 B2 B1 B2 A2A5B3C4 B2 B1 B2 A1A3A5B3C5 B3B5C5 B3 B5 B3 B2B5C5 B3 B5 B3 B1B5C5 B3 B5 B3 A5B5C5 B3 B5 B3 A4B5C5 B3 B5 B3 A3B5C5 B3 B5 B3 A2B5C5 B3 B5 B3 A1B5C5 B3 B5 B3 B3B5C5 B3 B5 B3 B2B5C5 B3 B5 B3 B1B5C5 B3 B5 B3 A5B5C5 B3 B5 B3 A4B5C5 B3 B5 B3 A3B5C5 B3 B5 B3 A2B5C5 B3 B5 B3 A1B5C5 A3A5B3B5 A3A5B3B5 A3A5B3B5 A3A5B3B5 A3A5B3B5 A3A5B3B5 A3A5B3B5 A3A5B3B5 . A1A3A5B3 . A3A5B3B5C2 . A3A5B3B5 . A1C2C5 A3A5B3B5 A1C2C5 A3A5B3B5 A1C2C5 A3A5B3B5 A1C2C5 A3A5B3B5 A1C2C5 A3A5B3B5 A1C2C5 A3A5B3B5 A1C2C5 A3A5B3B5 A1C2C5 A3A5B3B5 A1C2C5
9,  Harry Potter,B1 A2B4 . C1 B5 A2B4 . C3 A2C2 . A2B5 . B4A4 . C1 B5 A3B3 . A1B5 B1A2 . A4 B1 . B1 A2B4 . C1 B5 A2B4 . C3 A1B3A4C5 . C4 B1C3B4A4 . C2 A2C3B4A4 . C1 B4 B1A2A4 . C1 B4A2 . A4 B1 . A1 A2 . A4 B1 . A1C1 C3A2 . C1A4 B1C3 . C1A1 A2C3 . C2A4 A5B5 . B4A4 . C1 B5 A3B3 . B4A1 A2C3 . A4 B1 . C1A1 C3A2 . C1A4 B1C3 . C1 A1B1A4C5 . C4 B1A3C3 . C2 C3B4A2A4 . C1 B4 B1A2A4 . C1 B4A2 . A4 B1 . A1 A2 . A4 B1 . A1 . A2
10, stuck with you,A1B3 . A5B3B5 . A1B3 . A5B3B5 A1B3 A2B4 A3B5 . B2B5C2 . A2 A3B5 . B2B5C2 . A3 A4C1 . B3C1C3 A2 A3 A4C1C3 . A1A4B1C2 C3 B4 . B1B3C3 . A3B1B3 B3 B5 A5B4C2 . A2A5B2 . A1B3B4C2 B5 B5 B4 B5 B4 A3A5B3B5 . A1B3 A5B3B5 A1B3 A2B4 . A3B2B4B5 B4 B4 B3 A3A5B2B4 A5 A5 A3B2B4B5 B4 B4 B3 A3A5B2B4 A5 A5 A4B3B5C1 B4 B5 B4 B5 B4 A1A4B1B5 . A4C1 B4 B5 A1A4B1 A5 A5 B2B5C3C4C5 B4 B4 B4 A3B1B3B4 A5 A5 A5B4C2 B4 B3 B4 B3 A3B1B3B5C3 B4C2 B3B5 A1A3B3B5 A5C2 B1C3 A3A5B3C5 . A1B3 A5B3B5C2C5 B3 B4 A3B2B4B5 B2 B2 B2B4B5C2 B1 A5 A3B5 A3A5B2 B2 B4 . A4B3C1C3 C3 C2 C3 A4B1B3C3 C2 C1 . A4C1 A4B1B3 . A5 A5 B1B5C3 A5 . A3B1B3B5 A5 B5 A5C2 B4 A2A5B2 . A5 A1A5B3 A5B4 A3B3 A5B3B5 . C2 A1B3B5 B5 B4 A5B3B4B5 A1A5B3 A2A5B4 A3A5B3 A2B1 A3B3 A5B2B5 . A5 A3B3B5 B5 B4 A3A5B2B4 A5 A5 A4B1B5C1 B4 B4 . A4B1B3B5 B4 B4 . A4B1B5C1 B4 B4 A4B1B2B3 B1 A5 A5 B1B5C3 B4 B4 . A3B1B3B5 B4 B4 . A5C1C2 B5 B5 . A2A5B2 . A5 A1A5B3 A2B1 A3B3 A3A5B3 . A5 A1B3B5 B5 B4 A3A5B3B4 A1A5B3 A2A5B4 A3A5B2B5 B1B3 B2B4 A3A5B2 . A5 A3B3B5 B5 B4 A3A5B2B4 A5 A5 A4B1B5C1 B4 B4 . A4B1B3B5 B4 B4 . A4B1B5C1 B4 B4 . A4B1B2B3 B1 A5 A5 B1B5C3 B4 B4 . A3B1B3B5 B4 B4 . A5C1C2 B5 B5 . A2A5B2
